title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity
Mexico La Peña,SkyTop Coffee,91,"Manlius, New York","Siltepec, Chiapas State, Mexico",Medium-Light,58/76,$22.00/12 ounces,November 2022,9,8,8,9,7,,
Ethiopia Reko Yirgacheffe,Temple Coffee,94,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,60/76,$23.50/12 ounces,November 2022,9,9,9,9,8,,
Ethiopia Chelbesa Danche Yirgacheffe,Jaunt Coffee Roasters,94,"San Diego, California","Chelchele, Gedeb District, Gedeo Zone, Ethiopia",Medium-Light,60/77,$24.00/12 ounces,November 2022,9,9,9,9,8,,
Colombia Planadas Tolima,Jaunt Coffee Roasters,93,"San Diego, California","Tolima, Colombia",Light,65/81,$24.00/8 ounces,November 2022,9,9,8,9,8,,
Kenya Kiambu,Jaunt Coffee Roasters,93,"San Diego, California","Kiambu growing region, south-central Kenya",Light,65/81,$24.00/12 ounces,November 2022,9,9,8,9,8,,
Guatemala David Solano Single-Origin Espresso,Temple Coffee,93,"Sacramento, California","Chimaltenango, Guatemala",Medium-Light,56/74,$24.50/12 ounces,November 2022,8,,9,9,8,9,
Ethiopia Chelechele Yirgacheffe,Jaunt Coffee Roasters,93,"San Diego, California","Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,59/77,$23.00/12 ounces,November 2022,9,8,9,9,8,,
Festivity Blend,Temple Coffee,92,"Sacramento, California",Guatemala; Ethiopia; Colombia,Medium-Light,58/74,$22.50/12 ounces,November 2022,8,8,9,9,8,,
Ethiopia Halo Beriti,Roadmap CoffeeWorks,96,"Lexington, Virginia","Yirgacheffe growing region, southern Ethiopia",Medium-Light,60/77,$20.95/12 ounces,November 2022,9,9,9,10,9,,
Espresso Giusto,Roadmap CoffeeWorks,93,"Lexington, Virginia",Colombia; Guatemala; Mexico,Medium-Light,52/70,$16.95/12 ounces,November 2022,8,,9,9,8,9,
Narsha Gesha,Corvus Coffee,96,"Denver, Colorado","Bench-Maji Zone, southern Ethiopia",Light,63/81,$35.00/200 grams,November 2022,9,9,9,10,9,,
Ethiopia Yirgacheffe,Index Coffee,93,"Fairfax, Virginia","Yirgacheffe growing region, southern Ethiopia",Medium-Light,58/74,$17.95/12 ounces,November 2022,9,9,8,9,8,,
Nicaragua Los Pedernales,Roadmap CoffeeWorks,93,"Lexington, Virginia","Jinotega Department, Nicaragua",Light,62/80,$19.25/12 ounces,November 2022,9,8,9,9,8,,
Ethiopia Washed Guji Uraga Welichu,Kakalove Cafe,96,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/78,NT $375/8 ounces,November 2022,9,9,9,10,9,,
Kenya Gitare AA TOP,Kakalove Cafe,95,"Chia-Yi, Taiwan","Embu County, Eastern Province, Kenya",Light,62/80,NT $340/8 ounces,November 2022,9,9,9,9,9,,
Yemen Natural Sana’a Manakhah Ja’adi,Kakalove Cafe,95,"Chia-Yi, Taiwan","Manakhah, Sana'a, Yemen",Medium-Light,58/77,NT $900/4 ounces,November 2022,9,9,9,9,9,,
Ethiopia Bench Maji Gesha Special Natural Lot 03,Kakalove Cafe,95,"Chia-Yi, Taiwan","Bench-Maji Zone, southern Ethiopia",Light,64/81,NT $400/8 ounces,November 2022,9,9,9,9,9,,
Ethiopia Yirgacheffe Kochere Debo Premium Lot Washed Process,Buon Caffe,94,"Taipei, Taiwan","Yirgacheffe growing region, southern Ethiopia",Light,62/80,NT $459/8 ounces,November 2022,9,9,9,9,8,,
Ethiopia Natural Yirgacheffe Burtukaana Danche,Kakalove Cafe,94,"Chia-Yi, Taiwan","Gedeo Zone, southern Ethiopia",Medium-Light,60/78,NT $350/8 ounces,November 2022,9,9,9,9,8,,
Ethiopia Guji Uraga Wolichu Wachu Anaerobic Natural Process,Buon Caffe,93,"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Light,62/84,NT $399/8 ounces,November 2022,9,8,9,9,8,,
Bouquet Serenade 1982 Espresso Blend,Buon Caffe,93,"Taipei, Taiwan",Costa Rica; Honduras; Indonesia,Medium-Light,54/72,NT $249/8 ounces,November 2022,9,,8,9,8,9,
Honduras Copan Finca Liquidambar Natural Process,Buon Caffe,93,"Taipei, Taiwan","Las Flores, Marcala, La Paz, Honduras",Medium-Light,60/74,NT $459/8 ounces,November 2022,9,8,9,9,8,,
Colombia Tolima La Gallera Honey Process,Buon Caffe,92,"Taipei, Taiwan","Tolima, Colombia",Medium-Light,58/74,NT $429/8 ounces,November 2022,9,8,9,8,9,,
The Glistening Orchard Blend,Buon Caffe,91,"Taipei, Taiwan",Colombia; Ethiopia,Medium-Light,58/77,NT $459/8 ounces,November 2022,9,7,8,9,8,,
Ethiopia Hateso Guji Washed,RamsHead Coffee Roasters,94,"Bozeman, Montana","Guji Zone, Oromia Region, Ethiopia",Medium-Light,59/78,$20.00/12 ounces,November 2022,9,9,9,9,8,,
Ethiopia Wush Wush Black Honey Lot 2,RamsHead Coffee Roasters,93,"Bozeman, Montana","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,57/77,$21.00/12 ounces,November 2022,9,8,9,9,8,,
Guatemala El Injerto Pacamara,Equator Coffees,94,"San Rafael, California","La Libertad, Huehuetenango Department, Guatemala",Medium-Light,58/74,$22.00/6 ounces,November 2022,9,9,9,9,8,,
El Salvador Finca Santa Elena El Corozo Pacamara,GK Coffee,92,"Yilan, Taiwan","Apaneca-Ilamatepec growing region, El Salvador",Medium-Light,58/80,NT $550/200 grams,November 2022,8,8,9,9,8,,
Colombia Finca Samboni Gesha Anaerobic Natural,Magnolia Coffee,95,"Charlotte, North Carolina","Algeciras, Huila Department, Colombia",Light,62/80,$45.00/12 ounces,November 2022,9,9,9,9,9,,
Rwanda Cyesha Natural,Magnolia Coffee,94,"Charlotte, North Carolina","Nyamasheke District, Lake Kivu, Rwanda",Medium-Light,58/74,$26.00/12 ounces,November 2022,9,9,9,9,8,,
Tinamit Tolimán,El Gran Cafe,93,"Antigua, Guatemala","San Lucas Tolimán, Lake Atitlán growing region, Guatemala",Medium-Light,56/74,$16.00/12 ounces,November 2022,9,8,9,9,8,,
Finca Patzibir,El Gran Cafe,92,"Antigua, Guatemala","Lake Atitlán growing region, Guatemala",Medium-Light,56/74,$16.00/12 ounces,November 2022,8,8,9,9,8,,
Proyecto Aurora,El Gran Cafe,93,"Antigua, Guatemala","Antigua growing region, Guatemala",Medium-Light,58/76,$10.00/12 ounces,November 2022,9,9,8,9,8,,
Finca El Potrero,El Gran Cafe,93,"Antigua, Guatemala","Antigua growing region, Guatemala",Medium-Light,60/76,$10.00/12 ounces,November 2022,9,9,8,9,8,,
Chacayá Santiago Atitlán,El Gran Cafe,93,"Antigua, Guatemala","Lake Atitlán growing region, Guatemala",Medium-Light,55/73,$16.00/12 ounces,November 2022,9,8,8,9,8,,
Espresso No. 3,El Gran Cafe,94,"Antigua, Guatemala","Antigua growing region, Guatemala",Medium-Light,54/78,$20.00/12 ounces,November 2022,9,,9,9,8,9,
Finca Santa Isabel,El Gran Cafe,94,"Antigua, Guatemala","Cobán growing region, Alta Verapaz Department, Guatemala",Medium-Light,58/76,$13.00/12 ounces,November 2022,9,9,9,9,8,,
Esperanza Villa Sarchi,El Gran Cafe,92,"Antigua, Guatemala","Antigua growing region, Guatemala",Medium-Light,58/78,$16.50/12 ounces,November 2022,9,8,8,9,8,,
5a Sur,El Gran Cafe,91,"Antigua, Guatemala","Antigua growing region, Guatemala",Medium,50/66,$5.00/12 ounces,November 2022,9,8,9,8,7,,
5a Poniente,El Gran Cafe,91,"Antigua, Guatemala","Antigua growing region, Guatemala",Medium-Light,52/76,$5/12 ounces,November 2022,8,8,8,9,8,,
El Triunfo Mexico,JBC Coffee Roasters,92,"Madison, Wisconsin","Sierra Madre, Chiapas State, Mexico",Medium-Light,58/76,$17.00/12 ounces,October 2022,9,8,8,9,8,,
World 2.0 Espresso Blend,Euphora,93,"Taipei, Taiwan",Guatemala; Nicaragua; Ethiopia; Costa Rica; Indonesia; Brazil,Medium-Light,58/78,$10.00/16 ounces,October 2022,8,,9,9,8,9,
