title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,coffee_name,coffee_review_url,coffee_brand_url,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend,Est. Price USD,Latitude,Longitude,January_Avg_Temp,January_Precipitation,July_Avg_Temp,July_Precipitation,Price per once
Ethiopia Reko Yirgacheffe,Temple Coffee,94,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,58/76,$24.50/12 ounces,January 2024,9.0,9.0,9,9,8.0,,Ethiopia Reko Yirgacheffe,https://www.coffeereview.com/review/ethiopia-reko-yirgacheffe-2/,https://www.templecoffee.com,1,0,0,0,0,0,$24.50/12 ounces,38.5810606,-121.493895,10.5,20.5,30.4,0.0,
Ethiopia Reko Yirgacheffe,Temple Coffee,94,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,58/76,$24.50/12 ounces,January 2024,9.0,9.0,9,9,8.0,,Ethiopia Reko Yirgacheffe,https://www.coffeereview.com/review/ethiopia-reko-yirgacheffe/,https://www.templecoffee.com,1,0,0,0,0,0,$24.50/12 ounces,38.5810606,-121.493895,10.5,20.5,30.4,0.0,
Guatemala Hunapu,Temple Coffee,93,"Sacramento, California","Antigua, Guatemala",Medium-Light,60/76,$23.00/12 ounces,January 2024,9.0,8.0,9,9,8.0,,Guatemala Hunapu,https://www.coffeereview.com/review/guatemala-hunapu-3/,https://www.templecoffee.com,0,0,1,0,0,0,$23.00/12 ounces,38.5810606,-121.493895,10.5,20.5,30.4,0.0,
Guatemala Hunapu,Temple Coffee,93,"Sacramento, California","Antigua, Guatemala",Medium-Light,60/76,$23.00/12 ounces,January 2024,9.0,8.0,9,9,8.0,,Guatemala Hunapu,https://www.coffeereview.com/review/guatemala-hunapu-2/,https://www.templecoffee.com,0,0,1,0,0,0,$23.00/12 ounces,38.5810606,-121.493895,10.5,20.5,30.4,0.0,
Honduras Delmy Regalado Octopeque,Temple Coffee,93,"Sacramento, California","Ocotepeque, Honduras",Medium-Light,55/73,$22.00/12 ounces,January 2024,9.0,8.0,8,9,9.0,,Honduras Delmy Regalado Octopeque,https://www.coffeereview.com/review/honduras-delmy-regalado-octopeque/,https://www.templecoffee.com,0,0,1,0,0,0,$22.00/12 ounces,38.5810606,-121.493895,10.5,20.5,30.4,0.0,
Colombia Huila El Diviso Nestor Lasso Geisha Washed,Coffeebox Coffee,95,"Taipei, Taiwan","Bruselas, Pitalito, Huila Department, Colombia",Light,66/84,NT$780/227 grams,January 2024,9.0,9.0,9,9,9.0,,Colombia Huila El Diviso Nestor Lasso Geisha Washed,https://www.coffeereview.com/review/colombia-huila-el-diviso-nestor-lasso-geisha-washed/,https://shop.coffeebox.tw/,0,0,0,0,0,0,$23.40/227 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Ethiopia Bensa Bombe,Heat Coffee,94,"Taipei, Taiwan","Bombe Village, Bensa District, Sidamo growing region, Ethiopia",Light,64/86,NT$200/8 ounces,January 2024,9.0,9.0,9,9,8.0,,Ethiopia Bensa Bombe,https://www.coffeereview.com/review/ethiopia-bensa-bombe/,https://www.facebook.com/heatcoffee768,1,0,0,0,0,0,$6.00/8 ounces,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Colombia  Nariño Villa Maria La Chorrera Geisha Washed,Coffeebox Coffee,94,"Taipei, Taiwan","Nariño Department, Colombia",Medium-Light,60/76,NT$710/227 grams,January 2024,9.0,9.0,9,9,8.0,,Colombia  Nariño Villa Maria La Chorrera Geisha Washed,https://www.coffeereview.com/review/colombia-narino-villa-maria-la-chorrera-geisha-washed/,https://shop.coffeebox.tw/,0,0,0,0,0,0,$21.30/227 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Kenya Kirinyaga County Gikirima Factory TOP PB,Coffeebox Coffee,94,"Taipei, Taiwan","Embu County, Kenya",Medium-Light,60/78,NT$240/227 grams,January 2024,9.0,9.0,9,9,8.0,,Kenya Kirinyaga County Gikirima Factory TOP PB,https://www.coffeereview.com/review/kenya-kirinyaga-county-gikirima-factory-top-pb/,https://shop.coffeebox.tw/,1,0,0,0,0,0,$7.20/227 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Colombia Huila Finca Buena Vista Geisha Washed,Coffeebox Coffee,94,"Taipei, Taiwan","El Jardin, Pitalito, Huila Department, Colombia",Medium-Light,60/80,NT$650/227 grams,January 2024,9.0,9.0,9,9,8.0,,Colombia Huila Finca Buena Vista Geisha Washed,https://www.coffeereview.com/review/colombia-huila-finca-buena-vista-geisha-washed/,https://shop.coffeebox.tw/,0,0,0,0,0,0,$19.50/227 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Ethiopia Bench Maji Geisha Special Winey,Coffeebox Coffee,93,"Taipei, Taiwan","Bench-Maji Zone, Southern Ethiopia",Light,64/82,NT$420/227 grams,January 2024,9.0,8.0,9,9,8.0,,Ethiopia Bench Maji Geisha Special Winey,https://www.coffeereview.com/review/ethiopia-bench-maji-geisha-special-winey/,https://shop.coffeebox.tw/,1,0,0,0,0,0,$12.60/227 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Colombia La Zulia Castillo Sweet Rose Honey,Coffeebox Coffee,93,"Taipei, Taiwan","Huila Department, Colombia",Light,62/80,NT$760/227 grams,January 2024,9.0,8.0,9,9,8.0,,Colombia La Zulia Castillo Sweet Rose Honey,https://www.coffeereview.com/review/colombia-la-zulia-castillo-sweet-rose-honey/,https://shop.coffeebox.tw/,0,0,0,0,0,0,$22.80/227 grams,25.0375198,121.5636796,18.8,0.5,28.8,9.5,
Wilton Benitez Geisha,JBC Coffee Roasters,96,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",Light,62/80,$27.00/8 ounces,January 2024,9.0,9.0,9,10,9.0,,Wilton Benitez Geisha,https://www.coffeereview.com/review/wilton-benitez-geisha-2/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,0,0,0,0,$27.00/8 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,
Wilton Benitez Geisha,JBC Coffee Roasters,96,"Madison, Wisconsin","Piendamo, Cauca Department, Colombia",Light,62/80,$27.00/8 ounces,January 2024,9.0,9.0,9,10,9.0,,Wilton Benitez Geisha,https://www.coffeereview.com/review/wilton-benitez-geisha/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,0,0,0,0,$27.00/8 ounces,43.074761,-89.3837613,1.2,1.3,23.0,3.6,
