title,roaster,score,Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,With Milk,Acidity,coffee_name,coffee_review_url,coffee_brand_url,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,is_blend,Est. Price USD
San Antonio Guatemala,JBC Coffee Roasters,93,"Madison, Wisconsin","San Cristobal Cucho, San Marcos Department, Guatemala",Medium-Light,56/72,$20.00/12 ounces,March 2021,9.0,9.0,8,9,8.0,,,San Antonio Guatemala,https://www.coffeereview.com/review/san-antonio-guatemala/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,1,0,0,0,$20.00/12 ounces
La Esperanza Colombia Estate,Durango Coffee Company,93,"Durango, Colorado","Valle de Cauca, Colombia",Medium-Light,54/70,$18.95/12 ounces,March 2021,9.0,8.0,9,9,8.0,,,La Esperanza Colombia Estate,https://www.coffeereview.com/review/la-esperanza-colombia-estate/,https://www.durangocoffee.com/,0,0,0,0,0,0,$18.95/12 ounces
La Coipa Peru,JBC Coffee Roasters,93,"Madison, Wisconsin","San Ignacio, Cajamarca Region, Peru",Medium-Light,58/76,$19.00/12 ounces,March 2021,9.0,8.0,9,9,8.0,,,La Coipa Peru,https://www.coffeereview.com/review/la-coipa-peru-2/,https://www.jbccoffeeroasters.com/product-category/coffee/,0,0,0,0,0,0,$19.00/12 ounces
Thailand Pink Valley Natural,Paradise Roasters,93,"Minneapolis, Minnesota","Chiang Rai Province, Thailand",Medium-Light,60/80,$24.95/12 ounces,March 2021,9.0,9.0,8,9,8.0,,,Thailand Pink Valley Natural,https://www.coffeereview.com/review/thailand-pink-valley-natural/,https://paradiseroasters.com/,0,0,0,0,1,0,$24.95/12 ounces
Indonesia Golden Sumatra TP Espresso,GK Coffee,96,"Yilan, Taiwan","Aceh Province, Sumatra, Indonesia",Medium,44/62,NT $450/200 grams,March 2021,9.0,,9,10,9.0,9.0,,Indonesia Golden Sumatra TP Espresso,https://www.coffeereview.com/review/indonesia-golden-sumatra-tp-espresso/,https://www.gkcoffee.com.tw,0,0,0,0,1,0,$13.5/200 grams
Kenya Gachatha,Temple Coffee Roasters,95,"Sacramento, California",South-central Kenya,Medium-Light,54/72,$22.50/12 ounces,February 2021,9.0,9.0,9,9,9.0,,,Kenya Gachatha,https://www.coffeereview.com/review/kenya-gachatha-3/,https://www.bargain-cafe.com/,1,0,0,0,0,0,$22.50/12 ounces
Kenya Gachatha,Temple Coffee Roasters,95,"Sacramento, California",South-central Kenya,Medium-Light,54/72,$22.50/12 ounces,February 2021,9.0,9.0,9,9,9.0,,,Kenya Gachatha,https://www.coffeereview.com/review/kenya-gachatha-2/,https://www.templecoffee.com,1,0,0,0,0,0,$22.50/12 ounces
Ethiopia Suke Quto Single-Origin Espresso,Temple Coffee Roasters,94,"Sacramento, California","Guji Zone, Oromia Region, south-central Ethiopia",Medium-Light,52/72,$19.00/12 ounces,February 2021,9.0,,9,9,8.0,9.0,,Ethiopia Suke Quto Single-Origin Espresso,https://www.coffeereview.com/review/ethiopia-suke-quto-single-origin-espresso/,https://www.templecoffee.com,1,0,0,0,0,0,$19.00/12 ounces
Ethiopia Gera Limu,Temple Coffee Roasters,94,"Sacramento, California","Oromia growing region, southern Ethiopia",Medium-Light,58/80,$19.00/12 ounces,February 2021,9.0,9.0,9,9,8.0,,,Ethiopia Gera Limu,https://www.coffeereview.com/review/ethiopia-gera-limu/,https://www.templecoffee.com,1,0,0,0,0,0,$19.00/12 ounces
Peru Tambopata,Temple Coffee Roasters,93,"Sacramento, California","Puno, Sandia Valley, Peru",Medium,52/68,$19.00/12 ounces,February 2021,9.0,8.0,9,9,8.0,,,Peru Tambopata,https://www.coffeereview.com/review/peru-tambopata/,https://www.templecoffee.com,0,0,0,0,0,0,$19.00/12 ounces
